RBP	variable	value
UPF1	hsa-let-7a-3	2.65386597656653
NOL6	hsa-let-7a-3	1.0899209486166
ERAL1	hsa-let-7a-3	0.460829493087558
UTP20	hsa-let-7a-3	0.988899779924845
QKI	hsa-let-7a-3	0
PUF60	hsa-let-7a-3	0
LSM10	hsa-let-7a-3	0
LSM11	hsa-let-7a-3	0
CASC3	hsa-let-7a-3	0
NONO	hsa-let-7a-3	2.62981968206194
SFPQ	hsa-let-7a-3	2.33702791797621
ZNF106	hsa-let-7a-3	0
DDX49	hsa-let-7a-3	0
CELF2	hsa-let-7a-3	0
CELF1	hsa-let-7a-3	0.468010562919968
PIP5K1A	hsa-let-7a-3	0
EIF2AK2	hsa-let-7a-3	0.718693759779323
LARP6	hsa-let-7a-3	0
ZC3H10	hsa-let-7a-3	0
C9ORF114	hsa-let-7a-3	0.769230769230769
SF1	hsa-let-7a-3	0
PUM1	hsa-let-7a-3	6.39185753451851
PUM2	hsa-let-7a-3	5.93168268872494
ELAC1	hsa-let-7a-3	0
IGF2BP1	hsa-let-7a-3	0.744624934819322
IGF2BP2	hsa-let-7a-3	0.34492708084784
IGF2BP3	hsa-let-7a-3	1.00457668291989
PGAM5	hsa-let-7a-3	0
CSTF1	hsa-let-7a-3	8.88888888888889
LCORL	hsa-let-7a-3	0
NOL4L	hsa-let-7a-3	0
LIN28A	hsa-let-7b	3.3129904097646
LIN28B	hsa-let-7b	11.7747140167069
ZCCHC11	hsa-let-7b	0
ZCCHC6	hsa-let-7b	1.02040816326531
HNRNPL	hsa-let-7b	0.857121474759008
STRBP	hsa-let-7b	0
NUDT16L1	hsa-let-7b	1.40587438309727
GRSF1	hsa-let-7b	0.650267379679144
HNRNPF	hsa-let-7b	3.24942343467815
HNRNPH1	hsa-let-7b	2.29755695347913
HNRNPH2	hsa-let-7b	2.21854630000261
HNRNPH3	hsa-let-7b	2.17781911934276
ADARB1	hsa-let-7b	0.477897252090801
ESRP1	hsa-let-7b	0.469483568075117
TRMT10C	hsa-let-7b	0
RBM4	hsa-let-7b	15.1381999790405
RBM4B	hsa-let-7b	40.2450980392157
RBM12B	hsa-let-7b	1.28205128205128
SLTM	hsa-let-7b	0
SAFB	hsa-let-7b	0
FUS	hsa-let-7b	1.88010993800649
TAF15	hsa-let-7b	2.26950573864778
RBM14	hsa-let-7b	6.0291309486815
DDX1	hsa-let-7b	0.294222761649032
APOBEC3B	hsa-let-7b	2.02465554498493
RTCB	hsa-let-7b	0.712134985948346
DDX23	hsa-let-7b	1.14285714285714
RBM47	hsa-let-7b	0
PRMT1	hsa-let-7b	0
RBM6	hsa-let-7b	0
SUGP1	hsa-let-7b	0
PLRG1	hsa-let-7b	0
CDC5L	hsa-let-7b	0
CDC40	hsa-let-7b	0
SF3A1	hsa-let-7b	0.655737704918033
SF3A3	hsa-let-7b	0
SF3B1	hsa-let-7b	1.05322182113861
SF3B2	hsa-let-7b	0.489207249651459
SF3B3	hsa-let-7b	0.969312337490481
SF3B4	hsa-let-7b	0
SF3B5	hsa-let-7b	0
U2SURP	hsa-let-7b	0.425684805786189
RBM10	hsa-let-7b	0
CHERP	hsa-let-7b	0
CCAR1	hsa-let-7b	0
RBM17	hsa-let-7b	0
RBM5	hsa-let-7b	0
AQR	hsa-let-7b	0
XAB2	hsa-let-7b	0
PAXBP1	hsa-let-7b	0
PURA	hsa-let-7b	1.14453652659633
PURB	hsa-let-7b	0
PLOD1	hsa-let-7b	0.248447204968944
HNRNPA0	hsa-let-7b	0.927420963557164
HNRNPA1	hsa-let-7b	1.49512505777754
HNRNPA2B1	hsa-let-7b	1.3881599836343
HNRNPA3	hsa-let-7b	1.54636004046856
HNRNPK	hsa-let-7b	1.53371491587923
KIN	hsa-let-7b	0
TRIM71	hsa-let-7b	0
G3BP2	hsa-let-7b	6.86787072243346
ZC3H7A	hsa-let-7b	0
ZC3H7B	hsa-let-7b	0
XRN1	hsa-let-7b	0
TRIM25	hsa-let-7b	0
ATXN2L	hsa-let-7b	1.02941176470588
ATXN2	hsa-let-7b	0
NUFIP2	hsa-let-7b	0.805860805860806
TTC3	hsa-let-7b	0
PAPD4	hsa-let-7b	4.94310839520774
ZC3H11A	hsa-let-7b	0
HNRNPM	hsa-let-7b	1.75412821290454
ZNF346	hsa-let-7b	0.061633281972265
RTCA	hsa-let-7b	0.612968910720658
DHX36	hsa-let-7b	3.08908045977011
USP36	hsa-let-7b	0
PATL1	hsa-let-7b	0
EDC3	hsa-let-7b	0
EDC4	hsa-let-7b	0
DCP1A	hsa-let-7b	0
DCP1B	hsa-let-7b	0
DCP2	hsa-let-7b	0
DDX3X	hsa-let-7b	2.24758955612498
DDX3Y	hsa-let-7b	2.42424242424242
HNRNPR	hsa-let-7b	1.35696748634766
SYNCRIP	hsa-let-7b	0.743359648470236
ZFR	hsa-let-7b	0.163398692810458
TRMT1L	hsa-let-7b	0
MSI1	hsa-let-7b	0
MSI2	hsa-let-7b	1.57718908143478
TRIM26	hsa-let-7b	0
SART3	hsa-let-7b	0
RBBP6	hsa-let-7b	0
CRTAP	hsa-let-7b	3.33333333333333
P3H1	hsa-let-7b	2.5
TRA2A	hsa-let-7b	5.75064699694205
TRA2B	hsa-let-7b	3.34493820076493
WWP1	hsa-let-7b	0
WWP2	hsa-let-7b	0
CPSF1	hsa-let-7b	0.167785234899329
CPSF2	hsa-let-7b	0
CPSF3	hsa-let-7b	0
